STT	正确答案	题目		B	C	D
55	A	“残阳”指的是什么？	夕阳	朝阳	残缺的东西	残废的人
56	A	“长虫”是口语中对什么动物的称呼？	蛇	蜈蚣	蚯蚓	蜥蜴
57	A	“此生”指的是什么	这辈子	这一阵子	一瞬间	此刻
58	A	“蹉跌”用来比喻什么？	失误	旅途	驼背	丑
59	A	“刀把”中的“把”声调是第几声？	4	3	2	1
60	A	“灯节”指的是什么节？	元宵	端午	中秋	七夕
61	A	“低能儿”泛指什么意思？	智能低下的人	矮人	能量低	低年级
62	A	“抵死”表示的是什么样的态度？	坚决	服从	失落	怀疑
63	A	“地学”是对什么的简称？	地球科学	地理科学	地方科学	地震科学
64	A	“掂量”的“量”声调是第几声？	4	3	2	1
65	A	“斗箕”指的是什么	指纹	纹身	草帽	斗笠
66	A	“斗室”指什么意思？	极小的屋子	宽敞的屋子	破败的屋子	豪华的屋子
67	A	“对簿公堂”的“簿”发音和哪个字相同？	步	波	宝	博
68	A	“蛾眉”可以借指什么？	美丽的女子	整齐的眉毛	蛾子	山峰
69	A	“二老”特指什么？	父母	第二个老家	老乡	两位老师
70	A	“反感”指的是一种什么样的情绪？	不满	开心	无所谓	感激
71	A	“风骨”指的是什么样的品格？	刚正坚强	骄傲	憨厚老实	堕落
72	A	“凫水”指的是？	游泳	跳水	自来水	泡温泉
73	A	“姑且”表示什么意思？	暂且	暂别	姑丈	而且
74	A	《物种起源》是生物学界的重要著作，它的作者是谁	达尔文	达芬奇	亚里士多德	牛顿
75	A	《清明上河图》现藏于哪个博物馆？	故宫	奥赛博物馆	卢浮宫	台北
76	A	《自由引导人民》是德拉克罗瓦在哪一年创作的？	1830	1840	1850	1880
77	A	1784年罗伯特兄弟制造了一艘人力飞艇，最大直径为多少米？	9.6	10	16	10.2
78	A	1883年哪个国家的学者提出了遗传基因在染色体上的学说？	美国	英国	意大利	法国
79	A	1962年哪一天水手2号金星探测器发射成功？	8月27日	7月5日	6月1日	5月4日
80	A	2005年7月31日宇航员进行发现号航天飞机飞行任务中第几次太空行走？	1	2	3	4
81	A	埃斯诺.佩尔蒂埃出版的哪一本书被称为航天学的百科全书？	航天学	宇宙	太空	人间
82	A	拜占庭的中心是君士坦丁堡，这也就是今天的哪座城市呢？	伊斯坦布尔	罗马 	布达佩斯	佩特拉城
83	A	被人称为“丛林大教堂”的金字塔是什么？	蒂卡尔金字塔 	魔法师金字塔	月亮金字塔	太阳金字塔
84	A	比喻“百姓乐业，天下太平”的成语是？	凿饮耕食	一马平川	乐不思蜀	乐观其成
85	A	比喻“孤陋寡闻却又自以为是”的成语是	夜郎自大	谨小慎微 	妄自菲薄	无妄之灾
86	A	比喻“撰写美好的诗文”的成语是？	缀玉联珠	.惴惴不安	乏善可陈	珠联璧合
87	A	波提切利是哪个国家的画家？	意大利	法国	美国	英国
88	A	哺乳动物中最聪明的动物是什么？	黑猩猩	狮子	老虎	老鼠
89	A	成语“安故重迁”的“故”指的是？	旧俗 	故人	故事	事故
90	A	成语“百战百胜”和那个成语意思相近？	百战不殆	百口莫辩	大功告成	大而化之
91	A	成语“出处进退”的“退”的意思是？	隐退	退下	退回	退却
92	A	成语“出夷入险”的“夷”的意思是？	安全	外夷	危险	
93	A	成语“大难不死”的“难”的意思是？	灾难	困难	混乱	不舒服
94	A	成语“作壁上观”中的“壁”指的是什么？	壁垒	玉石	墙壁	戈壁
95	A	除什么星以外，太阳系的行星的自转方向和公转方向相同？	金	土	木	水
96	A	触手通常指无脊椎动物头部简单或分枝的细长突起，它的主要作用包含什么？	触觉	进食	御敌	求爱
97	A	大津巴布韦的遗址范围包括大围场、平民区和哪种建筑群？	城堡	碉堡	宫殿	教堂
98	A	大西洋的海面平均温度为多少？	17	15	20	22
99	A	当飞船围绕地球飞行时，重力会变成维持飞行的什么？	向心力	气压	轻力	平衡力
100	A	第一部蒸汽机车是由哪个国家制造的？	英国	美国	法国	中国
101	A	电子侦察卫星一般运行在多少千米的近圆形轨道上？	1000	800	1500	2000
102	A	动植物的大分家是生物进化史上的第几次大分化？	4	3	2	1
103	A	对糖尿病有一定疗效的是下面的哪种植物？	苦瓜	西瓜	南瓜	辣椒
104	A	发现火星表面存在水的火星探测器是哪个？	火星快车	火星观察着	海盗	火星探路者
105	A	橄榄棱皮龟迁徙时横渡的是哪个大洋？	大西洋	北冰洋 	印度洋	太平洋
106	A	古代中国的火箭，由火药线，箭秆及什么组成？	药线	药泥	药引	药方
107	A	海豚是靠什么呼吸的？	肺	皮肤	舌头	两腮
108	A	汉朝苏武牧羊的北海是今天的什么地方？	贝加尔湖	洞庭湖	西湖	鄱阳湖
109	A	航天飞机的返回着陆基本类似，一般都要借助什么减速？	降落伞	风力	氧气	燃料
110	A	航天器的着陆场一般选择在什么地区？	高纬度	低纬度 	温带	热带
111	A	和“兵临城下”意思相近的成语是？	四面楚歌	酒池肉林	四面八方	兵来将挡
112	A	和“得知”意思相近的是？	获悉	未解	知音	得意
113	A	和成语“否极泰来”意思相近的成语是？	时来运转	急中生智	客似云来	处之泰然
114	A	和成语“浑水摸鱼”意思相近的成语是？	趁火打劫	浑然天成	混淆黑白	
115	A	和成语“程门立雪”意思相近的成语是？	尊师重道	背信弃义	遵纪守法	
116	A	敬辞“令堂”指的是？	对方的母亲	对方的父亲	对方的妻子	
117	A	科学家通过化石了解到恐龙大约有多少种？	350	300	250	200
118	A	可以侦辨雷达，窃听遥测和通信等机密信息的卫星叫什么卫星？	电子侦察	海洋	遥感	气象
119	A	克里姆林宫内的炮王已经有多少年的历史了？	400	500	600	300
120	A	美国的国际日地探测卫星3号于哪一年发射上天	1978	1984	1999	1982
121	A	目前世界上只有美国，俄罗斯和哪个国家掌握了载人航天技术？	中国	日本	法国	英国
122	A	钱塘江大潮的最佳观潮点在哪个城市？	海宁	杭州	上海	萧山
123	A	人们常常把藤壶叫做什么？	马牙	马尾	马蹄	兔牙
124	A	人们在非洲和哪个大洲都发现了中龙的化石？	南美洲	北美州	亚洲	欧洲
125	A	人体的关节囊包围在关节外面，关节内的光滑骨面，称为什么？	关节面	关节	关节腔	
126	A	三国时代的谁发明了木牛流马？	诸葛亮	周瑜	鲁肃	曹操
127	A	世界三大宗教分别是佛教、伊（和谐）斯兰教和什么？	基督教	天主教		
128	A	世界上第一颗有源通信卫星是哪个国家发射的	美国	法国	日本	俄罗斯
129	A	适宜生命活动温度范围内的物质存在气态、液态和什么？	固态	空气	水	
130	A	汤加海沟位于哪个大洋？	太平洋	北冰洋 	印度洋	大西洋
131	A	下列哪个词表示遇事刁难，不好对付的人？	刺儿头	墙头草	落水狗	打下手
132	A	下列哪个词用于形容奇装异服、举止轻狂的青少年流氓？	阿飞	阿斗	阿Q	阿豹
133	A	下列哪一类动物属于节肢动物？	多足类	海鱼类	贝壳类	石鳖类
134	A	下列哪种动物具有迁徙行为？	大黄鱼	喜鹊	白头翁	乌鸦
135	A	下列哪种动物属于卵生的生殖方式？	蝼蛄	狗	老虎 	.田螺
136	A	下列哪种生物采用的是分裂生殖的生殖方式？	草履虫	蜜蜂	猫	老虎
137	A	下列选项中，哪种动物属于变温动物？	鱼	狗	猫	马
138	A	下列选项中，哪种动物属于恒温动物？	旱獭	蛇	青蛙	鲤鱼
139	A	下列选项中的哪种动物具有冬眠行为？	蟾蜍	猫	羊	老鼠
140	A	下面哪个书法家是明朝的书法家？	宋遂	张芝	王羲之	范成大
141	A	下面哪个书法家是宋朝的书法家？	范成大	王羲之	张芝	宋遂
142	A	下面哪个选项是唐代六大最高学府之一？	太学	仁学 	礼学	
143	A	下面哪一种恐龙存在于晚白垩纪？	慢龙	鸟面龙 	顶棘龙	高龙
144	A	形容“步态迟缓”的成语是？	鹅行鸭步	老态龙钟	身轻如燕	不由分说
145	A	形容“全神贯注的忙于事务”的成语是？	饥不暇食	事无巨细	风餐露宿	
146	A	形容“人倔强不驯”的成语是？	不劣方头 	心直口快	心旷神怡	
147	A	写的真牛 (《三国演义》人名一)	文丑	张辽	关羽	张飞
148	A	以龟为前列（打一中国地名）	上蔡	宁武	沁水	古交
149	A	战国史上“合纵”就是六国都听秦国的指挥，游说六国“连横”的是苏秦对吗？	不对	对		
150	A	工厂领导决定建立健全的财务监督制度，狠抓各种虚报冒领的违法行为。这句话有语病是吗？	不是	是		
151	A	我国太阳能最丰富的省区是？	西藏	新疆	河南	海南
152	A	鲁迅先生有一部回忆往事的散文集，叫什么名字？	《朝花夕拾》	《故事新编》	《南腔北调》 	《野00》
153	A	《圣经》传说中的魔鬼叫什么名字？	撒旦	阿撒兹勒	米凯尔	十三哥
154	A	世界上风力最大和风最多的地区是南极洲吗？	是	不是		
155	A	世界上河流最多的国家是哪个？	中国	加拿大	德国	美国
156	A	如果你是一名篮球运动员，当你犯规5次的时候将？	被罚下场	被罚红牌	被罚黄牌	
157	A	此日聚千人，空巷观潮头（打一中国地名）	香港	会泽	黑水	汶川
158	A	《红楼梦》中的男、女主人公分别是谁？	贾宝玉、薛宝钗	王熙凤、史湘云	林黛玉、贾宝玉	林黛玉、薛宝钗
159	A	被称为“诗鬼”唐代诗人是哪一位	李贺	白居易	杜甫	李白
160	A	第一次世界大战的导火索是什么？	萨拉热窝事件	日德兰海战	俄波战争	意土战争
161	A	狗只靠舌头散发身体的热量是远远不够的，他还要通过急促喘气的方式才能降温，是吗？	是	不是		
162	A	在数学上，小数就是比1小的数，对吗	不对	对		
163	A	京剧《铡美案》中主持正义的官员是谁？被铡的是谁？	包拯 陈世美	宋慈，陈世美	包拯，庞太师	宋慈，西门庆
164	A	人工降雨是通过什么物质来是想的？	干冰	毛毛雨	液态氮	冰
165	A	在数学上，两个偶数肯定不是互质数对嘛？	对方的母亲	不对		
166	A	远古时代人民用“钻木取火”得方法获得火种，这是利用震动发声的原理，是吗？	不是	是		
167	A	我国最大的煤矿在山西大同，是吗？	是	不是		
168	A	有“雨巷诗人”之称的“现代派”诗人是哪一位	戴望舒	艾农	冰心	何其芳
169	A	门窗都是木质，有的粗糙一些，有的很精致，尤其是窗子，雕成各种图案，有菱形、圆形，还有其它各种交形.....	对	不对		
170	A	战国时的“将相和”故事中，将是指廉颇，相是指蔺相如，都是齐国的重臣对吗？	不对	对		
171	A	太阳系中九大行星中被称为“飞毛腿”的是什么星？	水星	火星	金星	土星
172	A	西游记中有一位占山为王，以火攻擅长的，自称是牛魔王孩儿的妖精是红孩儿，又叫圣婴大王，对吗？	对	不对		
173	A	元代散曲的小令由单支曲子组成，如马致远的小令《天净沙*秋思》，对吗？	对	不对		
174	A	人体最坚硬的部位是牙齿吗？	是	不是		
175	A	推动经济全球化进程的首先和主要是（ ）	发达资本主义国家 	私人企业	跨国公司	发展中国家
176	A	地球每时每刻都在自转，自转的方向是自西向东，是吗？	是	不是		
177	A	推铅球运动的起源是什么？	搬运炮弹	打猎 	摘苹果	
178	A	 当支点到力点的距离小于支点到重点的距离时，杠杆是费力的是吗？	是	不是		
179	A	“侦探福尔摩斯”第一次出现是在下列哪部作品中？	《血字的研究》 	《东方快车谋杀案》	《尼罗河上的惨案》	《难逃一生》
180	A	.“出师未捷身先死，常使英雄泪满襟”是陆游的著名诗句，这首诗所怀念的是诸葛亮，是吗？	不是	是		
181	A	收录了从汉代到隋唐的全部乐府作品的诗集是哪部作品，编者是谁？	《乐府诗集》，郭茂倩	《陶渊明集》，陶渊明	《万首唐人绝句》，薛涛	
182	A	著名画家毕加索是西班牙人嘛？	是	不是		
183	A	世界上最早的风向计和自动计时器都是谁发明的？	张衡	阿基米德	徐启光	荷马
184	A	著名的意大利比萨斜塔倾斜的主要原因是	塔底底层下陷的缘故	冲塔的木科砖石年久破损失修	受到地震的影响	
185	A	. “飞人”乔丹曾多少次获得NBA总冠军称号？	6	5	7	4
186	A	江边新月小，帘下放心悬（打一中国地名）	沙市	淮南	潍坊	牡丹江
187	A	童话《木偶奇遇记》的作者卡尔洛*科洛迪是哪个国家的人？	意大利	丹麦	埃及	希腊
188	A	我国最早的学校出现在什么时候？	夏	商	周	唐
189	A	《左传》、《国语》、《战国策》三部都是先秦时期得历史主要著作，对吗？	对	不对		
190	A	海明威在古巴时爱喝的朗姆酒是以什么为原料制成的蒸馏酒？	甘蔗	高粱	小麦	葡萄
191	A	 “元嘉治世”是南北朝时期哪一位皇帝在位时得太平盛世？	宋文帝	北魏孝武帝	萧道之	萧衍
192	A	定“安史之乱”的将领哪两位？	李光弼和郭子仪	秦琼和尉迟恭	寇仲和徐子陵	安禄山和史思明
193	A	船只利用声纳侦测鱼的踪迹，主要是利用声波的什么性质？	反射	共振	辐射	折射
194	A	有两条丝带，第一条长6.2米，第二条比第一条的二倍少0.2米，两条丝带共长多少米？	18.4（米）	18.6（米）	15.4（米）	12.4（米）
195	A	 “酸、甜、咸、苦”四味中，舌尖对什么味道最敏感？	甜	苦	咸	酸
196	A	 眉毛的生长周期是？	2个月	3个月	4个月 	5个月
197	A	 佛教四大名山中，相传为观音菩萨所居之处的是？	普陀山	衡山	恒山	太行山
198	A	歌德的代表作《浮士德》中的魔鬼叫什么名字？	摩菲斯特	上帝	海伦	
199	A	被称为“起名星”的是太阳系中得什么星？	金星	木星	水星	冥王星
200	A	太阳的体积大约相当于多少个地球的体积？	十万	二十万	一百万	二百万
201	A	儒家是先秦诸子百家的主要思想派别之一，儒家的主要代表人物是墨子嘛？	不是	是		
202	A	 “花间派”词人的词作被编入哪部作品中？	《花间集》	《蝶恋花》	《人间辞话》	《朝花夕拾》
203	A	李自成被害地九宫山位于哪一个省？	湖北省	湖南省	河北省	山西省
204	A	欧盟中央银行所在地法兰克福是德国最大的航空枢纽城市，对嘛？	不对	对		
205	A	缺乏哪种维生素会犯佝偻病？	维生素D 	维生素A 	维生素B	维生素F
206	A	作为新乐府运动的主将，倡导关注现实，诗风明快晓畅的唐代大诗人是？	白居易 	李白	王维	杜甫
207	A	脚踏千江水，手扬沙满天，惊起林中鸟，折断园中花。（打一自然现象）	风	暴雨	地震	闪电
208	A	行政诉讼是由何种机关或团体来主持的？	人民法院	原行政行为的上级行政机关	人民检察院	原行政机关
209	A	中国古代文学史上最长的一首抒情诗是哪部作品，作者是谁？	《离骚》，屈原	"《卖炭翁》,白居易"	"《秋风清》,李白"	"《锦瑟》,李商隐"
210	A	"我国规模最大,内容最丰富的石窟群是?"	敦煌莫高窟	云港石窟	龙门石窟 	
211	A	 “志人”小说《世说新语》属于什么体的小说，作者是谁？	笔记体小说，刘义庆	纪传体小说，蒲松龄	纪传体小说，刘义庆	笔记体小说，蒲松龄
212	A	代表元代文学的最高成就是什么？	元杂剧	元代小说	元曲	
213	A	分手两心把情悬(打一中国地名)	巴青县 	美姑县	灵寿	
214	A	工程队挖一条水渠，计划每天挖100米，24天完成，实际提前4天完成，实际平均每天挖多少米？	120（米）	160（米）	100（米）	140（米）
215	A	互联网最初是基于何种应用目的被开发出来的？	教育应用	军事侦察	网络游戏	
216	A	母亲的年龄是儿子年龄的四倍，三年前母子年龄之和是49岁，则母亲现在的年龄是多少岁?	44	40	50	45
217	A	鸟类站在高压电线上不会触电致死是由于：	鸟脚间的电压差很低	鸟类具有耐高压的	鸟脚是绝缘体	鸟脚干燥
218	A	亚洲耕地面积最大的国家是哪一个？	印度	中国	俄罗斯	
219	A	尽管我们关于太阳能的研究和议论已经相当多，但今天对太阳能的利用还是非常有限的，其主要原因是：	尚未开发出有效的收集和储存太阳能的系统	核能仍然更为有效 	太阳能系统尚不安全	难以将阳光有效地聚焦
220	A	下列各项个人所得，不需缴纳个人所得税的是( )。	保险赔偿	稿酬	工资	股息
221	A	中国的万里长城举世闻名？哪个国家也有类似的长城？	印度	希腊	土耳其	泰国
222	A	我国可以发展边境贸易最多的省(区)是?	云南	西藏	新疆	内蒙古
223	A	羿射落九鸟(打一中国地名)	弋阳	紫阳	旺苍 	当阳
224	A	传说中我们的祖先黄帝在哪里升天？	浙江仙都	山东蓬莱	河南洛阳	
225	A	世界流经国家最多的河流是哪条？	多瑙河	尼罗河	黄河	伏尔加河
226	A	佛教产生于哪里？	喜马拉雅山脚	少室山	太行山	嵩山
227	A	中国古代文学史上最长的一首抒情诗是哪部作品，作者是谁？	《离骚》，屈原	"《卖炭翁》,白居易"	"《秋风清》,李白"	"《锦瑟》,李商隐"
228	A	我国行政诉讼法的标志是（ ）	具体行政行为	行政立法行为	行政处理决定	抽象行政行为
229	A	《二十四史》中篇幅最大的是哪部？	《宋史》	《明史》	《唐史》 	《资治通鉴》
230	A	唐代“边塞诗派”以哪些诗人为代表？	高适、岑参、王昌龄	李白、杜甫	孟浩然、王维	
231	A	位于广东的我国重点自然保护区叫什么？	鼎湖山	武夷山	梵净山	卧龙
232	A	"①收割②施肥③买种④出售⑤播种,对以上五个事件的四种假定排列顺序,请你选择其中最为合乎逻辑的一个."	3—5—2—1—4	4—3—5—1—2	5—3—2—1—4	3—2—5—1—4
233	A	最早提出地球为球形的观点的是谁？	亚里士多德 	麦哲伦	沈括	宋应星
234	A	使太阳产生巨大能量的什么？	核聚变	黑子	核裂变	太阳风暴
235	A	词史上第一个以诗为词，开拓词境的词人是哪一位？	苏轼	欧阳修	柳永	黄庭坚
236	A	“天若有情天亦老”最初是谁的诗句？	李贺	岑参	陶渊明	辛弃疾
237	A	巴金的《激流三部曲》是由哪三部作品组成的？	《家》、《春》、《秋》 	《深入》、《转换》、《复兴》 	《春蚕》、《秋收》、《残冬》	《岐路》、《炼狱》、《十字架》
238	A	著名的《天鹅湖》出自（　　）。	柴可夫斯基	贝多芬	舒伯特	斯特劳斯
239	A	人体生命中最重要的物质是什么？	蛋白质	维生素	氨基酸	DNA
240	A	不动产物权的变动，通常以（ ）为公示方法	合意	登记	占有	交付
241	A	老舍有一部描写北京人力车夫生活的长篇小说，是什么？	《骆驼祥子》	《茶馆》	《春华秋实》 	《火车集》
242	A	中国文学史上的第一篇白话小说是谁写的，小说的名字是什么？	"鲁迅,《狂人日记》"	"施耐庵,《水浒传》"	"胡适,《胡适学术文集》"	"鲁迅,《呐喊》"
243	A	唐代“山水田园诗派”以哪些诗人为代表？	孟浩然、王维 	岑参、王维	孟浩然、王昌龄	王昌龄、岑参
244	A	昼为阳，夜为阴，则下午为（ ）。	阳中之阴	阳中之阳	阴中之阳	辰
245	A	我国哪个省级行政单位的省区最多？	内蒙古自治区	新疆	北京	上海
246	A	"每年的4月1日是""愚人节"",这一节日习俗最早起源于?"	西方国家	日本	中国	
247	A	唐代诗人王昌龄号称“七绝圣手”，他的哪一篇作品被称为是唐代七绝“压卷之作”？	《出塞》	《秋兴》	《答武陵太守》	《闺怨》
248	A	宋朝为加强中央司法机构的控制，在皇宫中设立（ ）。	审刑院	《宣政院》	大理院	大司徙
249	A	冰激凌”是从哪国传进的外来语？	英国	日本	印度	法国
250	A	缺乏哪种维生素会犯脚气病？	维生素Ｂ	维生素F	维生素E 	维生素C 
251	A	作为“六朝古都”，历史上在什么朝代，南京城定名为“南京”?	明朝 	唐朝	宋朝	隋朝
252	A	.我国古代文学名作《桃花源诗》和诗序《桃花源记》的作者是（ ）	屈原，陶渊明	陶渊明，陶渊明	杜甫，李白	陆游，苏轼
253	A	世界上海岸线最曲折的是哪个大洲？	欧洲	非洲	北美洲 	亚洲
254	A	温室效应将引起全球气温上升，导致气候异常、海平面上升、生态恶化。引起温室效应的最主要的气体是	二氧化碳	臭氧	氟利昂	氮氧化合物
255	A	佛教传入中国中原的第一座佛庙是?	白马寺	静安寺	昭觉寺	法门寺
256	A	我国历史上规模最大的水战是哪次战役？	元末鄱阳湖大战	官渡之战	赤壁之战	淝水之战
257	A	自然科学中最早出现的是	天文学	医学	物理学	数学
258	A	目的是使消费者对商品产生良好感觉的广告是（　　）。	劝说性广告	信息性广告	公益广告	特征广告
259	A	中国古代把皇帝称做真龙天子是从谁开始的？	汉高祖 	商纣王	尧	秦始皇 
260	A	中国北方最大的淡水湖是哪个？	微山湖	西湖 	鄱阳湖 	
261	A	下面哪一个不是我国的领海？	北海	渤海	东海	南海
262	A	秦代李斯的代表作品是哪篇？	《谏逐客书》	《大风歌》 	《吕氏春秋》	《垓下歌》
263	A	《倾城之恋》、《金锁记》、《传奇》是哪位作家的作品？	张爱玲	席娟	冰心	琼瑶 
264	A	《伊索寓言》这本书是什么时候产生的？	古希腊 	春秋	战国	十三世纪
265	A	世界上第一颗人造卫星是哪个国家发射的？	前苏联 	美国	中国	印度
266	A	"十斤棉花比五千克的铁重量轻,是吗?"	不是	是		
267	A	三国时期吴国的首都建业是现在哪一个城市？	南京	上海	苏州	武汉
268	A	.汉代的“文景之治”推行的是什么政策？	无为而治	众建而分其势	因俗而治	远交近攻
269	A	多数汽车的前窗都是倾斜的，最主要原因是（ ）	避免因反光而影响驾驶员视线	减少空气阻力	结构合理，视野开阔，承受冲击能力强	便于与水流走
270	A	王实甫在《西厢记》中提出的具有普遍意义的爱情口号是哪一句话？	愿天下有情的都成了眷属。	花落水流红，闲愁万种，无语怨东风.	晓来谁染霜林醉？总是离人泪.	
271	A	社会保障中的最大项目是（ ）支出。	社会保险	社会优抚	社会救助	社会福利
272	A	北宋神宗时期进行改革推行新法的人是谁？	王安石	韩愈	司马光 	李元昊
273	A	.“出师未捷身先死，长使英雄泪满襟。”此句中所指人物和作者分别是	诸葛亮，杜甫	周瑜，杜甫	诸葛亮，李白	岳飞，辛弃疾
274	A	“甜城”是指我国的哪个城市？	内江	洛阳	柳州	攀枝花
275	A	在现存唐诗中，哪位诗人创作存量最高？	白居易	陈子昂	李白	杜甫
276	A	“水能载舟，亦能覆舟”一语出自	唐太宗	乾隆	宋太祖	孔子
277	A	世界上最靠北的首都是：	雷克亚未克	莫斯科	斯德哥尔摩	哥本哈根
278	A	夺得欧洲冠军杯最多的是下列哪只球队? 	皇家马德里队	曼彻斯特联队	AC米兰队	拜仁慕尼黑队
279	A	我国最长的古典小说是哪部？	榴华梦	聊斋志异	西厢记	红楼梦
280	A	长篇小说《子夜》的作者是谁？	茅盾 	鲁迅	冰心	巴金
281	A	我国最早的历史文献是什么？	尚书	山海经 	天问	左传
282	A	传说中的巫山神女名叫?	瑶姬	精卫	女娲	
283	A	推行“尊王攘夷”政策并成为我国春秋时期第一个霸主的是谁？	齐桓公 	管仲	楚怀王	秦穆公
284	A	中文大写数字由哪一位皇帝顶下来的？	朱元璋	杨坚	杨广 	李世民
285	A	扬州瓜州渡口有一个“沉香亭”，这个名字的由来同明代冯梦龙的哪一篇白话小说有关？	《杜十娘怒沉百宝箱》	《金瓶梅》	《西游记》	《徐霞客游记》
286	A	第一次世界大战发生在什么时间? 	1914-1918	1913-1918	1939-1945	1910-1914
287	A	被称为“小李白”的诗人是谁？	陆游	白居易	柳永	龚自珍
